Title;Artist;Language;genre;Period
Mistral gagnant;Renaud;French;Variete;1980'
Misty;Ella Fitzgerald;English;Jazz;1950 and before'
Mon pere etait tellement de gauche;Fatals picards;French;Variete;2000'
Monopolis;France Gall;French;Variete;1980'
More than words;Extreme;English;Variete;1990'
Mourir d'aimer;Charles Aznavour;French;Variete;1970'
Mourir sur scene;Dalida;French;Variete;1980'
Mustang Sally;The Commitments;English;rock;1960'
My Boy Lollipop;Millie Small;English;Variete;1960'
My Funny Valentine;Chet Baker;English;Jazz;1950 and before'
My song of you;laurent voulzy;French;Variete;1980'
Natural Woman;Aretha Franklin;English;Variete;1960'
Nel blu dipinto di blu (Volare);Domenico Modugno;Italien-Corse;Variete;1950 and before'
Night call;London grammar;English;Pop;2010 and after'
Nights in White Satin;moody blues;English;Variete;1960'
No Milk Today;Herman's Hermits;English;Variete;1960'
No Particular place to go;Chuck Berry;English;Rock;1960'
No surprises;Radiohead;English;Variete;1990'
Nothing compares 2 u;Prince;English;Pop;1990'
Now and then;The beatles;English;Variete;1960 Beatles Rolling stones'
Nowhere Man;The Beatles;English;Variete;1960 Beatles Rolling stones'
Ode To My Family;Cranberries;English;Pop;1990'
Oh! Darling;The Beatles;English;Variete;1960 Beatles Rolling stones'
On the Road Again;Bernard Lavilliers;French;Variete;1980'
One;U2;English;Pop;1990'
Paint It Black;Rolling stones/Vanessa Carlton;English;Variete;1960 Beatles Rolling stones'
Parler damour;Ute Lemper&Art Mango;French;Variete;1990'
Parlez moi de lui;Francoise hardy;French;Variete;1960'
Partir quand meme;Francoise Hardy;French;Variete;1980'
Peaceful Easy Feeling;Eagles;English;Variete;1970'
Pendant que les champs brulent;Niagara;French;Variete;1990'
Please Mr. Postman;The Marvelettes;English;Variete;1970'
Please Please Me;The Beatles;English;Variete;1960 Beatles Rolling stones'
Plus je t'embrasse;Thomas Dutronc/blossom Dearie;French;wedding;1950 and before'
Popcorn sale;Santa;French;Variete;2010 and after'
Pour oublier qu'on s'est aime;Nino Ferrer;French;Blues;1960'
Pour que tu m'aimes encore;Celine Dion;French;Variete;1990'
Pride (In the Name of Love);U2;English;Variete;1980'
Protect Me From What I Want;Placebo;English;Variete;2000'
Proud mary;Creedence Clearwater Revival;English;Rock;1960'
Puisque vous partez en voyage;Francoise Hardy - jean Sablon;French;Variete;1950 and before'
Pull Marine;Isabelle Adjani;French;Variete;1980'
Quand la ville dort;Niagara;French;Variete;1980'
Quand les hommes vivront d'amour;Felix Leclerc;French;Engage;1950 and before'
Quand on a que l'amour;Jacques Brel;French;Variete;1950 and before'
Que serais je sans toi;Jean Ferrat;French;Variete;1960'
Quelques mots d'amour;Veronique Sanson;French;Variete;1980'
Quiet Nights Of Quiet Stars;Antonio Carlos Jobim;English;Bossa;1960'
Quoi;Jane Birkin;French;Variete;1980'
Radio Ga ga;Queen;English;Rock;1980'
Redemption Song;Bob Marley;English;Variete;1980'
Repondez moi;Francis Cabrel;French;Variete;1980'
