Title,Artist,Language,Genre,Period
Lost on You,LP,English,pop,2010 and after'
E penso-a-te,Lucio Battisti,Italien-Corse,canzone,1970'
Mi Sono Innamorato Di Te,Luigi Tenco,Italien-Corse,canzone,1960'
Manha Do Carnaval,Luiz Bonfa,French,bossa,1950 and before'
Dream a little dream of me,Mamas and The Papas,English,folk rock,1960'
California Dreaming,Mamas and The Papas,English,folk rock,1960'
Chere amie,Marc Lavoine,French,pop,1980'
je me sens pas belle,Marc Lavoine,French,pop,1980'
All I Want for Christmas Is You,Mariah Carey,English,christmas,1990'
All about that bass,Meghan Trainor,English,pop,2010 and after'
Dear future husband,Meghan Trainor,English,pop,2010 and after'
Like Im Gonna Lose You,Meghan Trainor,English,pop,2010 and after'
Bitch,Meredith Brooks,English,pop,1990'
Diego,Michel Berger,French,pop,1980'
Les paradis blancs,Michel Berger,French,pop,1990'
Seras tu la,Michel Berger,French,pop,1970'
Les vacances au bord de la mer,Michel Jonaz,French,pop,1970'
Lettre a France,Michel Polnareff,French,pop,1970'
Respire,Mickey 3d,French,engage,2000'
Flowers,Miley Cirus,English,pop,2010 and after'
My Boy Lollipop,Millie Small,English,reggae,1960'
Nights in White Satin,Moody Blues,English,rock,1960'
Comme un petit coquelicot,Mouloudji,French,chanson,1950 and before'
Time Is Running Out,Muse,English,rock,2000'
Bang Bang,Nancy Sinatra,English,pop,1960'
These Boots Are Made For Walkin,Nancy Sinatra,English,pop,1960'
L-O-V-E,Nat king cole,English,jazz,1950 and before'
Smile,Nat King Cole,English,jazz,1950 and before'
Torn,Natalie Imbruglia,English,pop,1990'
The needle and the damage done,Neil Young,English,rock,1970'
l'amour a la plage,Niagara,French,pop,1980'
Pendant que les champs brulent,Niagara,French,pop,1990'
Quand la ville dort,Niagara,French,pop,1980'
Feeling Good,Nina Simone,English,jazz,1950 and before'
La Rua Madureira,Nino Ferrer,French,"bossa",1960'
Le Sud,Nino Ferrer,French,pop,1970'
Pour oublier qu'on s'est aime,Nino Ferrer,French,blues,1960'
About A Girl,Nirvana,English,grunge,1990'
Come as You Are,Nirvana,English,grunge,1990'
Where did you sleep,Nirvana,English,grunge,1990'
Dont Know Why,Norah Jones,English,pop,2000'
Don't look back in anger,Oasis,English,pop,1990'
Wonderwall,Oasis,English,pop,1990'
Sitting On The Dock Of The Bay,Otis Redding,English,r&b,1960'
Hit me with your best shot,Pat Benatar,English,rock,1980'
Il me dit que je suis belle,Patricia Kaas,French,pop,1990'
Because The Night,Patti Smith,English,punk,1970'
50 Ways To Leave,Paul Simon,English,folk rock,1970'
Scarborough Fair / Canticle,Paul Simon and Garfunkel,English,folk rock,1960'
Last kiss,Pearl Jam,English,grunge,1990'
