Title,Artist,Language,genre,Period
Meravigliosa,Gianna Nannini,Italien-Corse,Variete,1990'
Je reviens te chercher,Gilbert Becaud,French,Variete,1960'
I Will Survive,Gloria Gaynor,English,Variete,1990'
21 Guns,Green Day,English,Variete,2000'
Boulevard of Broken Dreams,Greenday,English,Pop,2000'
Wake Me up When September Ends,Greenday,English,Pop,2000'
Sweet child O mine,Gun N Roses,English,Variete,1980'
Sign of the times,Harry Style,English,Girly,2010 and after'
C'est Noel ma mie,Henri Salvador,French,Bossa,1950 and before'
Dans mon ile,Henri Salvador,French,Bossa,1950 and before'
Syracuse,Henry Salvador,French,Variete,1960'
Jardin D'hiver,Henry Salvador-Benjamin Biolay,French,Bossa,2000'
No Milk Today,Herman's Hermits,English,Variete,1960'
Cigarette,Higelin,French,Variete,1970'
Je ne peux plus dire je taime,Higelin,French,Variete,1970'
L’ange et le salaud,Higelin,French,Variete,1970'
The Reason,Hoobastank,English,Rock,2000'
Ricordu,I surghjenti,Italien-Corse,Variete,trad
Pull Marine,Isabelle Adjani,French,Variete,1980'
Quand on a que l'amour,Jacques Brel,French,Variete,1950 and before'
La fille du pere noel,Jacques Dutronc,French,Variete,1960'
La rousse au chocolat,Jacques Higelin,French,Variete,1970'
Di doo dah,Jane Birkin,French,Variete,1970'
Fuir le bonheur,Jane Birkin,French,Variete,1980'
Jane B,Jane Birkin,French,Variete,1960'
Quoi,Jane Birkin,French,Variete,1980'
Me and Bobby McGee,Janis Joplin,English,Variete,1970'
C'est beau la vie,Jean Ferrat,French,Variete,1960'
La montagne,Jean Ferrat,French,Variete,1960'
Ma mome,Jean Ferrat,French,Engage,1960'
Que serais-je sans toi,Jean Ferrat,French,Variete,1960'
Aimer a perdre la raison,Jean Ferrat-Aragon,French,Variete,1970'
Alter Ego,Jean Louis Aubert,French,Variete,2000'
Rouge,Jean-Jacques Goldman,French,Engage,1990'
Sister Jane,Jean-Jacques Goldman,English,Variete,1970'
Ailleurs,Jean-Louis Aubert,French,Variete,2000'
Bien sur,Jean-Louis Aubert,French,Variete,2010 and after'
India song,Jeanne Moreau,French,Variete,1970'
Hallelujah,Jeff Buckley,English,Variete,1990'
Many Rivers to Cross,Jimmy Cliff,English,Variete,1960'
Diamonds And Rust,Joan Baez,English,Variete,1970'
I love rock and roll,Joan Jett,English,Rock,1970'
Les Champs-elysees,Joe Dassin,French,Variete,1960'
Siffler sur la colline,Joe Dassin,French,Variete,1960'
All of Me,John Legend,English,Jazz,2010 and after'
Happy Xmas (War Is Over),John Lennon,English,Variete,1960 Beatles Rolling stones'
Jealous guy,John Lennon,English,Variete,1960 Beatles Rolling stones'
Mind Games,John Lennon,English,Variete,1960 Beatles Rolling stones'
Hurt,Johnny Cash,English,Variete,1990'
I walk the line a revoir,Johnny Cash,English,Variete,1950 and before'
the fallen leaves,Joseph Kosma,English,Jazz,1950 and before'
Cry Me A River,Julie London,English,Jazz,1950 and before'
Ma preference,Julien Clerc,French,Variete,1970'
Utile,Julien Clerc,French,Engage,1990'
A-la folie,Juliette Armanet,French,Variete,2010 and after'
Le dernier jour du disco,Juliette Armanet,French,Variete,2010 and after'
Dust in the Wind,Kansas,English,Variete,1970'
I kissed a girl,Katy Perry,English,Variete,2000'
Roar,Katy Perry,English,Variete,2010 and after'
Somewhere Only We Know-capo,Keane,English,Pop,2000'
Les yeux de la Mama,Kendji Girac,French,Variete,2010 and after'
Kids in america,Kim Wilde,English,Pop,1980'
Epitaph,King Crimson,English,Variete,1960'
I talk to the wind,King Crimson,English,Variete,1960'
The court of the crimson king,King Crimson,English,Variete,1960'
use-somebody,Kings-of-leon,English,Pop,2000'
Goffa lolita,La petite culotte,Italien-Corse,Variete,2010 and after'
Always Remember Us This Way,Lady Gaga,English,Variete,2010 and after'
Shallow,Lady Gaga,English,Variete,2010 and after'
Desir Desir,Laurent Voulzy,French,Variete,1980'
My song of you,Laurent Voulzy,French,Variete,1980'
Stairway To Heaven,Led Zeppelin,English,Variete,1970'
L'autre finistere,Les Innocents,French,Variete,1990'
Un homme extraordinaire,Les Innocents,French,Variete,1990'
Voyage en italie,Liliclub,French,Variete,1990'
Hello,Lionel Richie,English,Pop,1980'
Girl Crush,Little Big Town,English,Variete,2010 and after'
Night call,London grammar,English,Pop,2010 and after'
Walk on the Wild Side,Lou Reed,English,Variete,1970'
What a wonderful world,Louis Amstrong,English,Variete,1950 and before'
Lost on You,LP,English,Pop,2010 and after'
E penso-a-te,Lucio Battisti,Italien-Corse,Variete,1970'
Mi Sono Innamorato Di Te,Luigi Tenco,Italien-Corse,wedding,1960'
Manha Do Carnaval,Luiz Bonfa,French,Bossa,1950 and before'
