Title,Artist,Language,Genre,Period
Cigarette,Higelin,French,"chanson, variété française, french jazz, french pop, french house",1970'
Je ne peux plus dire je taime,Higelin,French,"chanson, variété française, french jazz, french pop, french house",1970'
L’ange et le salaud,Higelin,French,"chanson, variété française, french jazz, french pop, french house",1970'
The Reason,Hoobastank,English,nu metal,2000'
Ricordu,I surghjenti,Italien-Corse,Unknown,trad
Pull Marine,Isabelle Adjani,French,"variété française, chanson, french pop",1980'
Quand on a que l'amour,Jacques Brel,French,"chanson, variété française",1950 and before'
La fille du pere noel,Jacques Dutronc,French,"chanson, variété française, french pop, french house",1960'
La rousse au chocolat,Jacques Higelin,French,"chanson, variété française, french jazz, french pop, french house",1970'
Di doo dah,Jane Birkin,French,"chanson, french pop, variété française",1970'
Fuir le bonheur,Jane Birkin,French,"chanson, french pop, variété française",1980'
Jane B,Jane Birkin,French,Unknown,1960'
Quoi,Jane Birkin,French,"chanson, french pop, variété française",1980'
Me and Bobby McGee,Janis Joplin,English,"classic rock, acid rock, psychedelic rock",1970'
C'est beau la vie,Jean Ferrat,French,"chanson, variété française",1960'
La montagne,Jean Ferrat,French,"chanson, variété française",1960'
Ma mome,Jean Ferrat,French,"chanson, variété française",1960'
Que serais-je sans toi,Jean Ferrat,French,"chanson, variété française",1960'
Aimer a perdre la raison,Jean Ferrat-Aragon,French,"chanson, variété française",1970'
Alter Ego,Jean Louis Aubert,French,"variété française, chanson, french pop, french house",2000'
Rouge,Jean-Jacques Goldman,French,"variété française, chanson, french pop",1990'
Sister Jane,Jean-Jacques Goldman,English,Unknown,1970'
Ailleurs,Jean-Louis Aubert,French,"variété française, chanson, french pop, french house",2000'
Bien sur,Jean-Louis Aubert,French,"variété française, chanson, french pop, french house",2010 and after'
India song,Jeanne Moreau,French,"french jazz, chanson, variété française, french pop",1970'
Hallelujah,Jeff Buckley,English,Unknown,1990'
Many Rivers to Cross,Jimmy Cliff,English,"reggae, rocksteady, roots reggae",1960'
Diamonds And Rust,Joan Baez,English,"folk, folk rock, singer-songwriter",1970'
I love rock and roll,Joan Jett,English,rock,1970'
Les Champs-elysees,Joe Dassin,French,"chanson, variété française, french pop",1960'
Siffler sur la colline,Joe Dassin,French,"chanson, variété française, french pop",1960'
All of Me,John Legend,English,"soft pop, neo soul",2010 and after'
Happy Xmas (War Is Over),John Lennon,English,christmas,1960 Beatles Rolling stones'
Jealous guy,John Lennon,English,christmas,1960 Beatles Rolling stones'
Mind Games,John Lennon,English,christmas,1960 Beatles Rolling stones'
Hurt,Johnny Cash,English,country,1990'
I walk the line a revoir,Johnny Cash,English,"hip hop, east coast hip hop, rap",1950 and before'
the fallen leaves,Joseph Kosma,English,Unknown,1950 and before'
Cry Me A River,Julie London,English,"vocal jazz, jazz",1950 and before'
Ma preference,Julien Clerc,French,"chanson, variété française, french pop",1970'
Utile,Julien Clerc,French,"chanson, variété française, french pop",1990'
A-la folie,Juliette Armanet,French,"french pop, variété française, chanson, french house, french indie pop",2010 and after'
Le dernier jour du disco,Juliette Armanet,French,"french pop, variété française, chanson, french house, french indie pop",2010 and after'
Dust in the Wind,Kansas,English,"classic rock, progressive rock, album rock",1970'
I kissed a girl,Katy Perry,English,pop,2000'
Roar,Katy Perry,English,pop,2010 and after'
Somewhere Only We Know-capo,Keane,English,champeta,2000'
Les yeux de la Mama,Kendji Girac,French,"french pop, variété française, chanson",2010 and after'
Kids in america,Kim Wilde,English,Unknown,1980'
Epitaph,King Crimson,English,"progressive rock, art rock, symphonic rock, psychedelic rock",1960'
I talk to the wind,King Crimson,English,"progressive rock, art rock, symphonic rock, psychedelic rock",1960'
The court of the crimson king,King Crimson,English,"progressive rock, art rock, symphonic rock, psychedelic rock",1960'
use-somebody,Kings-of-leon,English,modern rock,2000'
Goffa lolita,La petite culotte,Italien-Corse,Unknown,2010 and after'
Always Remember Us This Way,Lady Gaga,English,"art pop, pop",2010 and after'
Shallow,Lady Gaga,English,"art pop, pop",2010 and after'
Desir Desir,Laurent Voulzy,French,"variété française, chanson, french pop, french house",1980'
My song of you,Laurent Voulzy,French,"variété française, chanson, french pop, french house",1980'
Stairway To Heaven,Led Zeppelin,English,"classic rock, rock, hard rock, rock and roll",1970'
L'autre finistere,Les Innocents,French,"variété française, chanson, french pop, french house",1990'
Un homme extraordinaire,Les Innocents,French,"variété française, chanson, french pop, french house",1990'
Voyage en italie,Liliclub,French,Unknown,1990'
Hello,Lionel Richie,English,motown,1980'
Girl Crush,Little Big Town,English,country,2010 and after'
Night call,London grammar,English,classic rock,2010 and after'
Walk on the Wild Side,Lou Reed,English,"glam rock, proto-punk",1970'
What a wonderful world,Louis Amstrong,English,"jazz, swing music, big band, vocal jazz, jazz blues",1950 and before'
Lost on You,LP,English,Unknown,2010 and after'
E penso-a-te,Lucio Battisti,Italien-Corse,"italian singer-songwriter, singer-songwriter, italo dance",1970'
Mi Sono Innamorato Di Te,Luigi Tenco,Italien-Corse,"italian singer-songwriter, singer-songwriter",1960'
Manha Do Carnaval,Luiz Bonfa,French,"bossa nova, brazilian jazz, latin jazz",1950 and before'
Dream a little dream of me,Mamas and The Papas,English,folk rock,1960'
California Dreaming,Mamas and The Papas,English,folk rock,1960'
Chere amie,Marc Lavoine,French,"variété française, chanson, french pop, french house",1980'
je me sens pas belle,Marc Lavoine,French,hip house,1980'
All I Want for Christmas Is You,Mariah Carey,English,christmas,1990'
All about that bass,Meghan Trainor,English,Unknown,2010 and after'
Dear future husband,Meghan Trainor,English,Unknown,2010 and after'
Like Im Gonna Lose You,Meghan Trainor,English,Unknown,2010 and after'
Bitch,Meredith Brooks,English,Unknown,1990'
Diego,Michel Berger,French,"variété française, chanson, french house, french pop",1980'
Les paradis blancs,Michel Berger,French,champeta,1990'
Seras tu la,Michel Berger,French,"variété française, chanson, french house, french pop",1970'
Les vacances au bord de la mer,Michel Jonaz,English,"french pop, pop urbaine",1970'
Lettre a France,Michel Polnareff,French,"variété française, chanson, french pop, french house",1970'
Respire,Mickey 3d,French,"variété française, chanson, french pop, french house",2000'
Flowers,Miley Cirus,English,Unknown,2010 and after'
My Boy Lollipop,Millie Small,English,"rocksteady, ska, electro swing",1960'
Nights in White Satin,Moody Blues,English,"progressive rock, symphonic rock, art rock, blues, baroque pop, psychedelic rock",1960'
Comme un petit coquelicot,Mouloudji,French,"chanson, french indie pop, variété française, french pop, french house",1950 and before'
Time Is Running Out,Muse,English,"alternative rock, rock",2000'
Bang Bang,Nancy Sinatra,English,Unknown,1960'
These Boots Are Made For Walkin,Nancy Sinatra,English,Unknown,1960'
L-O-V-E,Nat king cole,English,"christmas, adult standards, vocal jazz",1950 and before'
Smile,Nat King Cole,English,"christmas, adult standards, vocal jazz",1950 and before'
Torn,Natalie Imbruglia,English,Unknown,1990'
The needle and the damage done,Neil Young,English,"classic rock, folk rock, singer-songwriter, roots rock",1970'
l'amour a la plage,Niagara,French,"variété française, chanson, french pop, french house",1980'
Pendant que les champs brulent,Niagara,French,"variété française, chanson, french pop, french house",1990'
Quand la ville dort,Niagara,French,"variété française, chanson, french pop, french house",1980'
Feeling Good,Nina Simone,English,"vocal jazz, jazz blues, soul, soul jazz, jazz, blues",1950 and before'
La Rua Madureira,Nino Ferrer,French,"variété française, chanson, french pop, french house",1960'
Le Sud,Nino Ferrer,French,"variété française, chanson, french pop, french house",1970'
Pour oublier qu'on s'est aime,Nino Ferrer,French,"variété française, chanson, french pop, french house",1960'
About A Girl,Nirvana,English,"grunge, rock",1990'
Come as You Are,Nirvana,English,"grunge, rock",1990'
Where did you sleep,Nirvana,English,"grunge, rock",1990'
Dont Know Why,Norah Jones,English,Unknown,2000'
Don't look back in anger,Oasis,English,"britpop, madchester, rock",1990'
Wonderwall,Oasis,English,"britpop, madchester, rock",1990'
Sitting On The Dock Of The Bay,Otis Redding,English,"soul, motown, soul blues",1960'
Hit me with your best shot,Pat Benatar,English,album rock,1980'
Il me dit que je suis belle,Patricia Kaas,French,"chanson, variété française, french pop",1990'
Because The Night,Patti Smith,English,proto-punk,1970'
50 Ways To Leave,Paul Simon,English,singer-songwriter,1970'
Scarborough Fair / Canticle,Paul Simon and Garfunkel,English,Unknown,1960'
Last kiss,Pearl Jam,English,"grunge, rock, post-grunge",1990'
Emilie Jolie,Phillippe Chatel,French,"chanson, variété française, french pop",1980'
Lili,Phillippe Chatel,French,"chanson, variété française",1970'
Another Brick in the Wall Part 2,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Brain damage,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Breathe,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Comfortably numb,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1980'
