Étiquettes de lignes
Birds of a feather
Bitch
Black magic woman
Call Me
Chanson pour une drole de vie
Chasing Cars
Clocks
Complicated.
Dancing Queen
Dear future husband
Dejeuner en paix
Diamonds
Dimmi perche
Dont Know Why
Everything I Do I Do it For You
Feel
Flowers
Goffa lolita
Goodnight moon
Hallelujah
Here Comes the Sun
I go to sleep
Ill Stand By You
Jane B
Kids in america
Kiss Me
Lamour de ma vie
Liberta
Like Im Gonna Lose You
Lost on You
Love Is a Losing Game
Love on the brain
Mamma Mia
No Milk Today
Ode To My Family
Parler damour
Plus je t'embrasse
Quand les hommes vivront d'amour
Ricordu
Roxanne
San Francisco
Scarborough Fair / Canticle
Shenandoah
Sign of the times
Sister Jane
Skinny Love
Snowman
Stand By Me
The door
the fallen leaves
The Rose
The Scientist
The winner takes it all
These Boots Are Made For Walkin
Time after time
Torn
Total eclipse of the heart
True Colors
Unchained melody
Voyage en italie
What's Up?
White Flag
You Know I'm No Good
You'll Never Walk Alone
Zombie
variete
50 Ways To Leave
Aimer a perdre la raison
Angola
Bang Bang
C'est beau la vie
Ci sara
Close To You
Comme un petit coquelicot
Diego
Dis quand reviendras tu ?
E penso-a-te
Eblouie Par La Nuit
Emilie Jolie
Felicita
Fuir le bonheur
How Deep Is Your Love
I will survive
Il me dit que je suis belle
Il n'y a pas d'amour heureux
Il suffirait de presque rien
It's Too Late
je me sens pas belle
Je me suis fait tout petit
Je ne peux plus dire je taime
Je reviens te chercher
Je veux
Jealous guy
Killing me softly
l'aigle noir
L'amitie
L'eau de la claire fontaine
La Boheme
La fille du pere noel
La montagne
La rousse au chocolat
Laissez moi danser
Le ciel le soleil et la mer
Le coup de soleil
Le petit bonheur
Les amants d'un jour
Les Champs-elysees
Les Copains d'abord
Les paradis blancs
Les vacances au bord de la mer
Les yeux de la Mama
Lili
Luka
Ma fille
Ma mome
Ma preference
Meravigliosa
Message Personnel
Mi Sono Innamorato Di Te
Mind Games
Mistral gagnant
Mon pere etait tellement de gauche
More than words
Mourir d'aimer
Mourir sur scene
Nel blu dipinto di blu (Volare)
On the Road Again
Parlez-moi de lui
Partir quand meme
Quand on a que l'amour
Que serais-je sans toi
Quoi
Sara Perche Ti Amo
Sei nell'anima
Seras tu la
Si vous n'avez rien a me dire
Siffler sur la colline
Something stupid
Tant de belles choses
Ti Amo
Tous les cris les SOS
Utile
Vertige de l'amour
Votre fille a vingt ans
Yesterday Once More
(vide)
(vide)
Total général
