Title,Artist,Langue,genre,Period
Ill Be Seeing You a refaire,Billie Holiday,English,Variete,inconnu
Ill Stand By You,Pretenders,English,Pop,1990'
Im not in love,10cc,English,Pop,1970'
India song,Jeanne Moreau,French,Variete,inconnu
Island in the Sun,Weezer,English,Variete,2000'
Isn't she lovely,Stevie Wonder,English,wedding,1970'
isolation,Beck-deep lennon,English,Variete,2000'
It's Too Late,Carole King,English,Variete,1970'
J'ai rendez-vous avec vous,Georges Brassens,French,Variete,inconnu
Jane B,Jane Birkin,French,Variete,inconnu
Jardin D'hiver,Henry Salvador-Benjamin Biolay,French,Bossa,inconnu
Je Crois Entendre Encore,David Gilmour/ Bizet,French,Variete,inconnu
je me sens pas belle,Marc Lavoine,French,Variete,inconnu
Je me suis fait tout petit,Georges Brassens,French,Variete,inconnu
Je n'veux pas rester sage,Dolly,French,Variete,inconnu
Je ne peux plus dire je taime,Higelin,English,Variete,inconnu
Je reviens te chercher,Gilbert Becaud,French,Variete,inconnu
Je t'aimais je t'aime je t'aimerai a refaire,Francis Cabrel,French,Variete,inconnu
Je veux,Zaz,French,Variete,inconnu
Jealous guy,John Lennon,English,Variete,1960 Beatles Rolling stones'
Kids in america,Kim Wilde,English,Pop,1980'
Killing in the name of,Rage against the machine,English,Rock,1990'
Killing me softly,Roberta Flack,English,Variete,1970'
Kiss Me,Sixpence None the Richer,English,Variete,1990'
l'aigle noir,Barbara,French,Variete,inconnu
L'amitie,Francoise Hardy,French,Variete,inconnu
l'amour a la plage,Niagara,French,Variete,inconnu
L'aube revenant,Francis Cabrel,French,Variete,inconnu
L'autre finistere,Les Innocents,French,Variete,inconnu
L'eau de la claire fontaine,Georges Brassens,French,Variete,inconnu
L-O-V-E,Nat king cole,English,Jazz,1950 and before'
La Boheme,Charles Aznavour,French,Variete,inconnu
La Declaration Damour,France Gall,French,Variete,inconnu
La fille du pere noel,Jacques Dutronc,French,Variete,inconnu
la gadoue,Serge Gainsbourg,French,Variete,inconnu
la grenade,Clara Luciani,French,Variete,inconnu
La javanaise,Serge Gainsbourg,French,Variete,inconnu
La montagne,Jean Ferrat,French,Variete,inconnu
La rousse au chocolat,Jacques Higelin,French,Variete,inconnu
La Rua Madureira,Nino Ferrer,French,Bossa,inconnu
Lady Marmalade a refaire,Patti LaBelle,English,Variete,inconnu
Laisse Tomber Les Filles,France Gall,French,Variete,inconnu
Laisser moi danser,Dalida,French,Variete,inconnu
Lamour de ma vie,Billie Eilish,English,Girly,2010'
Lange et salaud,Higelin - Higelin,English,Variete,inconnu
Last kiss,Pearl Jam,English,Variete,1990'
Layla acoustic a refaire,Eric Clapton,English,Variete,1970'
Le Bal de Laze,Polnareff,French,Variete,inconnu
Le ciel le soleil et la mer,Francois Deguelt,French,Variete,inconnu
Le coup de soleil,Richard Cocciante,French,Variete,inconnu
Le dernier jour du disco,Juliette Armanet,French,Variete,inconnu
Le monde est stone,Fabienne Thibault,French,Variete,inconnu
Le petit bonheur,Felix Leclerc,French,Variete,inconnu
Le prisonnier,Antoine Ciosi,Italien-Corse,Variete,inconnu
Le Sud,Nino Ferrer,French,Variete,inconnu
Les amants d'un jour,Edith Piaf,French,Variete,inconnu
Les Champs-elysees,Joe Dassin,French,Variete,inconnu
Les Copains d'abord,Georges Brassens,French,Variete,inconnu
Les microsillons,alain Chamfort,French,Variete,inconnu
Les mots bleus,Christophe,French,Variete,inconnu
Les mots simples,Vanessa Paradis,French,Variete,inconnu
Les paradis blancs,Michel Berger,French,Variete,inconnu
Les paradis perdus,Christophe,French,Variete,inconnu
Les vacances au bord de la mer,Michel Jonaz,English,Variete,inconnu
Les yeux de la Mama,Kendji Girac,French,Variete,inconnu
Let's stay together a refaire,Al Green,English,Variete,1970'
Lettre a France,Michel Polnareff,French,Variete,inconnu
Lettre a La Petite Amie,Higelin,French,Variete,inconnu
Liberta,E cardeline,Italien-Corse,Variete,inconnu
Life on mars,David Bowie,English,Variete,1970'
Like Im Gonna Lose You,Meghan Trainor,English,Variete,2010'
Lili,Phillippe Chatel,French,Variete,inconnu
Lili (U turn),Aaron,English,Variete,2000'
Living after midnight a refaire,Judas Priest,English,Variete,1980'
Lonely Day,System Of A Down,English,Pop,1990'
The Long and Winding Road,The Beatles,English,Variete,1960 Beatles Rolling stones'
Lost on You,LP,English,Pop,2010'
Louie Louie,Kingsmen,English,Variete,1960'
Love Is a Losing Game,Amy Winehouse,English,Girly,2000'
Love Me Do,The Beatles,English,Variete,1960 Beatles Rolling stones'
Love on the brain,Rihanna,English,Girly,2010'
Luka,Suzanne Vega,English,Variete,1980'
Ma benz,Brigitte,French,Variete,inconnu
Ma fille,Serge Reggiani,French,Variete,inconnu
Ma mome,Jean Ferrat,French,Engage,inconnu
Ma preference,Julien Clerc,French,Variete,inconnu
Ma reverence,Veronique Sanson,French,Variete,inconnu
Mamma Mia,ABBA,English,Variete,1970'
Manha Do Carnaval,Luiz Bonfa,French,Bossa,inconnu
Many Rivers to Cross,Jimmy Cliff,English,Variete,1960'
Me and Bobby McGee,Janis Joplin,English,Variete,1970'
Meravigliosa,Gianna Nannini,Italien-Corse,Variete,inconnu
Message Personnel,Francoise Hardy,French,Variete,inconnu
Mi Sono Innamorato Di Te,Luigi Tenco,Italien-Corse,wedding,inconnu
Midnight blues,Gary Moore,English,Blues,1990'
Mind Games,John Lennon,English,Variete,1960 Beatles Rolling stones'
Minor swing,accompagnement - Django Reinhardt,English,Variete,1950 and before'
Minor Swing solo,Django Reinhardt,English,Jazz,1950 and before'
Mistral gagnant,Renaud,French,Variete,inconnu
Misty,Ella Fitzgerald,English,Jazz,1950 and before'
Mon pere etait tellement de gauche,Fatals picards,French,Variete,inconnu
Monopolis N,France Gall,French,Variete,inconnu
More than words,Extreme,English,Variete,1990'
Mourir d'aimer,Charles Aznavour,French,Variete,inconnu
Mourir sur scene,Dalida,French,Variete,inconnu
My Boy Lollipop,Millie Small,English,Variete,1960'
My Funny Valentine in C,Chet Baker,English,Jazz,1950 and before'
My song of you,laurent voulzy,French,Variete,inconnu
Natalia,George Moustaki,English,Variete,inconnu
Natural Woman,Aretha Franklin,English,Variete,1960'
The needle and the damage done,Neil Young,English,Variete,1970'
Nel blu dipinto di blu (Volare),Domenico Modugno,Italien-Corse,Variete,inconnu
Night call,London grammar,English,Pop,2010'
Nights in White Satin,moody blues,English,Variete,1960'
No Milk Today,Herman's Hermits,English,Variete,1960'
No Particular place to go,Chuck Berry,English,Rock,1960'
No surprises,Radiohead,English,Variete,1990'
Nothing compares 2 u,Prince,English,Pop,1990'
Nowhere Man,Beatles,English,Variete,1960 Beatles Rolling stones'
Ode to billie joe. A refaire,Bobbie gentry,English,Variete,1960'
Ode To My Family,Cranberries,English,Pop,1990'
Oh Shenandoah,irish trad,English,Variete,inconnu
Oh! Darling,Beatles,English,Variete,1960 Beatles Rolling stones'
Old Man,Neil Young,English,Variete,1970'
On the Road Again,Bernard Lavilliers,French,Variete,inconnu
One,U2,English,Pop,1990'
Out on the Weekend,Neil young - Lee Ann Womack,English,Variete,inconnu
Paint It Black,Rolling stones/Vanessa Carlton,English,Variete,inconnu
Parler damour,Ute Lemper&Art Mango,French,Variete,inconnu
Parlez-moi de lui,Francoise hardy,French,Variete,inconnu
Partir quand meme,Francoise Hardy,French,Variete,inconnu
Peaceful Easy Feeling,Eagles,English,Variete,1970'
Pendant que les champs brulent,Niagara,French,Variete,inconnu
Perfect Day a refaire,Lou Reed,English,Variete,1970'
Please Mr. Postman,The Marvelettes,English,Variete,1970'
Please Please Me,The Beatles,English,Variete,1960 Beatles Rolling stones'
Plus je t'embrasse,Thomas Dutronc/blossom Dearie,French,wedding,inconnu
Pour oublier qu'on s'est aime,Nino Ferrer,French,Blues,inconnu
Pride (In the Name of Love),U2,English,Variete,1980'
Promises,Cranberries,English,Variete,1990'
Protect Me From What I Want,Placebo,English,Variete,2000'
Proud mary,Creedence Clearwater Revival,English,Rock,1960'
Puisque vous partez en voyage,Francoise Hardy - jean Sablon,French,Variete,inconnu
Pull Marine,Isabelle Adjani,French,Variete,inconnu
Quand la ville dort,Niagara,French,Variete,inconnu
Quand les hommes vivront d'amour,Felix Leclerc,French,Engage,inconnu
Quand on a que l'amour,Jacques Brel,French,Variete,inconnu
Que reste t'il de nos amours,Charles Trenet,French,Variete,inconnu
Que serais-je sans toi,Jean Ferrat,French,Variete,inconnu
Quelques mots d'amour,Veronique Sanson,French,Variete,inconnu
Quiet Nights Of Quiet Stars,Antonio Carlos Jobim,English,Bossa,1960'
Quoi,Jane Birkin,French,Variete,inconnu
Radio Ga ga,Queen,English,Rock,1980'
The Reason,Hoobastank,English,Rock,2000'
Redemption Song,Bob Marley,English,Variete,1980'
Repondez-moi,Francis Cabrel,French,Variete,inconnu
Respire,Mickey 3d,French,Variete,inconnu
Ricordu,i surghjenti,Italien-Corse,Variete,inconnu
The river a refaire,Bruce Sringsteen,English,Variete,inconnu
Roar,Katy Perry,English,Variete,2010'
rock n roll suicide,David Bowie,English,Pop,1970'
Rocky racoon a refaire,Beatles,English,Variete,inconnu
The Rose,Bette Midler,English,Variete,1970'
Rouge,jean-jacques goldman,French,Engage,inconnu
Roxanne,The Police,English,Rock,1970'
Sailing,Rod Stewart,English,Variete,1970'
San Francisco,Scott McKenzie,English,Variete,1960'
Santa baby,Eartha Kitt,English,Jazz,1950 and before'
Santeria,Sublime,English,Pop,1990'
Sara Perche Ti Amo,Ricchi & Poveri,Italien-Corse,Variete,inconnu
Scarborough Fair / Canticle,Paul Simon and Garfunkel,English,Variete,inconnu
The Scientist,Coldplay,English,Pop,2000'
